ResponseID,warmth_5,god_5,god_6,death_5,death_6,elderly_5,power_5,power_6,conservati_5,time_5,purity_5,sweet_5,sexypics_5,gender,religionbinary
R_bNHjJboyaCGQgdf,NA,83,46,NA,15,99,89,68,42,73,76,NA,52,2,-0.5
R_0BPEzAlFHw8bzCd,39,66,81,17,24,64,98,88,20,48,68,13,70,1,-0.5
R_diNwcclqyficVgh,0,27,0,18,19,72,91,18,0,7,77,0,86,1,-0.5
R_9mqkCEPQ9x88G4R,0,72,64,0,0,100,100,28,0,0,0,18,0,1,0.5
R_6LmPAqWdcTdcfop,10,55,64,0,0,72,90,67,52,92,85,62,11,1,-0.5
R_bIXcvnqKC33qguN,0,66,50,0,0,100,100,0,23,20,78,0,0,1,-0.5
R_bfkTej0sBRsZSZv,0,30,0,0,0,40,100,0,30,0,30,0,10,1,-0.5
R_3lQF8jObZt2v83j,7,56,51,4,3,70,68,10,25,3,75,14,7,1,0.5
R_d5ydgie8kbXcfkN,0,0,0,26,31,100,100,69,64,26,81,0,48,1,-0.5
R_3h3wFkmD3EmmZ9z,29,19,0,0,18,86,100,61,100,29,49,29,79,1,-0.5
R_eV6USXzZz88U8p7,10,9,5,16,6,3,97,50,73,94,95,57,26,1,-0.5
R_9TTCnKTtlXYVL8N,62,0,0,0,0,64,98,25,50,32,80,32,41,2,-0.5
R_25DYdwd9gTV5TCt,63,100,70,0,0,89,73,0,29,51,7,0,55,2,-0.5
R_cAYjmv5H8QOvejX,0,14,0,0,9,66,93,69,68,17,67,9,38,1,-0.5
R_cuPxnaRTntsh9xX,0,24,12,1,0,12,91,19,14,14,8,43,5,1,-0.5
R_b1tjMzuoLzxzGdf,0,75,62,0,10,85,90,55,90,70,70,0,40,2,0.5
R_2ox7IiSWye1OfE9,25,95,90,NA,25,95,100,75,20,25,50,20,95,2,0.5
R_0B2Bu2R3Df6OpeZ,4,92,22,0,33,92,90,34,0,14,84,65,67,1,-0.5
R_6zJ0yY42kKKssXX,25,58,47,18,15,56,100,69,81,64,47,14,21,1,-0.5
R_0jqRuoTTjcYjRPv,20,18,50,0,20,70,100,51,25,15,20,0,38,2,-0.5
R_beofcDgzlEPvyjr,0,35,0,0,0,100,100,40,1,20,100,0,0,1,-0.5
R_3NJAUCT0Grqhx65,0,0,0,0,0,90,100,30,30,10,30,30,50,1,-0.5
R_87BhlleujTmagBf,53,33,39,29,3,75,92,73,13,39,65,2,42,2,-0.5
R_1HUh4odFpJmiIaF,0,0,0,0,0,100,100,0,0,0,0,0,100,1,-0.5
R_4HhEV5XrGkWmnml,20,15,78,0,0,80,99,34,50,58,29,36,0,1,0.5
R_b89DRRBvBnE6gjH,54,60,19,57,32,57,89,59,59,46,74,43,0,1,-0.5
R_4SYIB7u2JmTYITz,0,67,82,0,35,46,81,55,59,68,65,0,29,1,0.5
R_9HaS0H1wmZm74gZ,42,76,31,23,23,86,89,75,90,28,88,31,84,1,0.5
R_blwgBdZPyRcMzcx,0,22,30,25,0,82,0,0,1,7,100,69,69,2,-0.5
R_bIWnxKusQQwRZCR,0,48,10,0,0,5,100,28,12,0,50,11,0,2,0.5
R_ehcJJt4rM78UruB,50,50,50,0,0,100,100,50,0,50,100,0,50,1,-0.5
R_eRwjmUyjTUlwwK1,60,0,20,0,0,50,90,50,40,50,80,0,80,2,0.5
R_6y7KpHsXhsn81nL,0,24,0,0,0,16,63,43,58,0,0,0,0,1,-0.5
R_6AwI8ga8mjBs2aN,NA,NA,68,57,5,98,88,90,31,7,59,24,34,1,-0.5
R_8BOQt67ifho5SPb,3,6,52,0,0,91,88,47,17,54,27,0,40,2,0.5
R_cHIJo9iRb9M9Tz7,10,18,59,9,81,100,100,28,69,11,93,9,18,2,0.5
R_3PebggLvK41JTBX,0,0,18,0,0,100,100,48,31,0,0,49,0,2,0.5
R_7a28dhaKyiukSwt,20,26,0,0,0,47,100,90,48,0,0,38,38,2,0.5
R_7aO3sVDOqpju0n3,100,41,65,0,53,0,100,83,82,0,92,0,0,1,0.5
R_d6WbsruFzxrQD5P,2,15,30,6,18,94,100,74,71,13,81,0,7,1,-0.5
R_d6Zvqd0YOtH3LBb,19,9,82,0,0,71,100,7,7,0,69,0,11,2,0.5
R_cwHhwSh1Qu0GkPr,30,10,45,0,0,95,96,61,59,75,90,60,0,2,0.5
R_6uua5yp5ubd9vmZ,32,22,27,26,6,71,72,58,62,39,36,10,60,2,0.5
R_aeIZpx8dbyRMAIJ,60,75,20,0,0,100,100,0,60,0,50,0,50,1,0.5
R_6D5RVfeE60SIUIJ,88,17,28,14,5,82,82,71,68,55,94,51,48,2,-0.5
R_e37ogI8zpDZrssB,58,28,8,9,8,79,80,68,8,7,58,10,8,1,-0.5
R_ekRxAjX1WBKbisZ,19,87,78,0,0,84,100,42,85,28,66,0,66,2,0.5
R_5BiTWqKachMZaJL,22,63,21,19,7,75,73,60,54,29,65,4,28,1,0.5
R_8Hco9DZPuyncsRv,0,33,53,0,13,50,76,51,30,29,51,24,2,2,-0.5
R_37VHtxryegn0ggB,60,73,66,9,10,80,100,86,36,0,71,64,88,2,-0.5
R_07lT44PNercvbHT,0,11,5,11,0,48,100,42,0,10,60,0,37,1,0.5
R_08nZZtKwJxpBtSB,52,71,64,60,70,57,65,58,53,56,70,67,70,1,-0.5
R_eeyO2nNCyx3eaJ7,1,66,100,8,15,74,91,79,87,38,83,39,29,2,0.5
R_blxPHFcyoAGBBzL,38,58,69,0,0,75,100,79,90,48,80,28,38,2,0.5
R_eRrh3bWnBiuxTFj,0,60,0,0,0,15,80,5,80,0,20,3,5,1,-0.5
R_9RewIGWyB0BPXSZ,53,55,54,0,0,92,100,58,84,59,80,0,28,2,-0.5
R_bBqmnHhADPgreLj,0,10,20,0,0,60,95,70,70,20,70,20,20,1,0.5
R_9uEBt7l51G4bZIN,0,10,5,0,0,85,100,5,30,20,80,0,6,2,-0.5
R_09zd2B8cffItFR3,0,20,10,0,0,50,90,40,80,20,90,10,5,1,-0.5
R_8dz958qNVYqEEVD,0,10,25,0,0,60,65,10,10,20,10,20,10,1,-0.5
R_3WevO0FY0kFl3jD,0,50,95,0,0,70,95,60,60,40,95,20,90,2,0.5
R_3mGb5YcggZlN28l,NA,58,57,NA,NA,68,94,NA,NA,59,89,8,9,2,0.5
R_9mYVD15pDI97Lmd,77,4,93,5,7,89,96,84,24,5,92,6,97,1,0.5
R_dgMRmlzzvvoPzmd,0,41,75,0,16,42,100,3,34,2,74,25,2,1,0.5
R_9H81eM0BjtaovtP,51,50,31,0,39,71,100,42,51,50,47,0,50,1,-0.5
R_cYlqcPDykfLy3tz,10,30,100,0,5,61,100,30,30,20,81,0,70,2,0.5
R_0igcW7U7WuW92n3,13,0,42,0,0,80,100,36,58,20,20,11,52,1,0.5
R_2fe9wiDIViWnM6p,7,95,23,4,16,86,89,86,94,66,63,77,16,2,0.5
R_509xxdTxeBySkBv,0,0,0,0,0,100,100,0,100,54,100,0,100,1,-0.5
R_6DSn8MaebNILmZL,48,78,33,21,12,83,100,59,60,18,81,77,54,1,-0.5
R_ahsv8A3k0MgUSWh,0,0,53,55,55,100,100,0,56,100,100,79,100,1,-0.5
R_e8n1iqxey5TYimF,0,31,20,0,0,37,85,7,100,10,48,19,59,2,0.5
R_07izeYN3QWjTJUV,44,72,0,0,0,66,100,0,40,56,34,0,63,1,0.5
R_0U1TyymDVRF151X,56,NA,100,NA,NA,100,100,100,70,100,100,19,100,1,0.5
R_b14fAA6Waritcfb,NA,70,50,70,50,90,100,59,90,69,80,50,100,2,-0.5
R_1YNfF77VNOtUm9v,10,20,10,0,10,51,80,40,75,10,60,21,49,1,-0.5
R_4J7QkLeOFFdSzPf,0,5,20,0,0,75,100,5,65,0,50,0,0,1,-0.5
R_bOTaB8QlPIoEc8l,0,90,80,0,10,90,91,0,0,0,80,0,70,2,-0.5
R_egRbCRjFRxLe6cl,0,93,73,0,0,60,74,24,22,42,81,27,28,2,0.5
R_eXNiOUf2EvOV4b3,0,0,0,0,1,78,100,14,0,0,0,0,28,2,0.5
R_42UB826nOznegT3,4,6,69,0,17,67,100,14,6,17,82,6,0,1,0.5
R_9AytiP7OkqWtX7v,23,6,11,46,16,78,86,75,36,25,67,6,23,1,-0.5
R_3UzSHFV8TkMW9aR,0,30,0,0,0,80,100,50,30,30,70,20,50,2,-0.5
R_02pBJYlGYzWA741,0,0,44,0,0,82,100,36,0,0,0,0,28,1,-0.5
R_08JUahjXBQmOWy1,0,0,0,0,0,50,100,19,49,0,0,0,32,1,-0.5
R_e3eeH1iJqWLPXWB,10,79,50,0,7,91,100,32,19,41,64,15,25,2,0.5
R_eJKFPyC9Ug6oVpz,0,47,27,0,0,82,87,42,20,46,86,43,0,2,-0.5
R_40Lyn4Idw6yYRGR,50,52,36,0,0,76,89,7,56,38,73,48,26,1,-0.5
R_aXkZZbhF4t7UVA9,0,53,75,2,0,93,100,74,73,11,61,0,2,1,0.5
R_71DqrGTSLB8ncJT,61,42,61,0,0,100,83,71,100,59,57,49,31,1,-0.5
R_8em0UtiPPSEtR9r,8,57,70,6,15,82,100,68,70,60,81,27,65,1,0.5
R_8ChATiQb6n7KkjH,0,49,0,0,3,57,0,46,1,2,65,21,0,1,-0.5
R_06E9eyuMpW9HFGJ,0,20,50,0,20,91,100,80,80,10,60,0,40,1,-0.5
R_55pR9tFYr9XHRml,54,13,76,0,5,65,91,52,63,21,31,28,19,1,-0.5
R_esTDyMYw15AF1zv,20,80,0,0,0,50,100,50,70,28,50,0,60,1,-0.5
R_9RlCy0ihK4U1WCx,10,60,70,0,0,80,100,80,30,50,90,70,0,2,-0.5
R_06qwQV7gPyZqPZz,5,50,25,10,25,50,100,50,50,25,25,25,5,2,-0.5
R_1Z9ycKU6qZmmDJz,0,53,82,0,0,69,67,46,88,51,90,27,5,2,0.5
R_eOSuK7SrqzHdWGV,0,29,24,0,0,35,100,29,60,10,29,5,15,1,0.5
R_78anOoNlToCbLSt,53,42,41,0,0,72,72,38,47,40,39,38,100,2,0.5
R_07AjU38A3uGT4hv,0,0,5,0,0,62,97,12,49,0,35,0,16,1,-0.5
R_9vRVq07pPeMwRwx,NA,NA,47,11,48,91,91,78,91,13,50,19,97,2,0.5
R_5zkK3byBc4RaNa5,5,65,49,0,10,73,79,73,40,53,51,3,50,1,-0.5
R_cOuPXHdA431zGsJ,0,17,79,18,0,63,100,38,15,18,28,18,0,2,0.5
R_4ZvtIg4vxehpGWV,NA,30,21,NA,NA,59,83,21,10,NA,44,12,NA,1,-0.5
R_86ODAQQHLx6vl5z,96,3,4,2,3,92,99,100,97,9,0,2,98,1,-0.5
R_d6ecBwA5bV6UDVb,0,2,65,0,0,100,100,0,46,47,83,0,0,2,0.5
R_1M8jk0ESTc3xa6N,0,0,0,0,0,0,100,0,0,0,0,0,0,2,0.5
R_0Upg4nbkRHnJ8ln,15,87,80,1,1,96,96,35,13,7,93,1,6,2,-0.5
R_0NEFYlzswhMSRtH,0,57,77,0,0,28,63,0,20,0,28,0,0,1,0.5
R_38n4oHQx4fxPyHH,0,0,20,20,0,30,90,33,20,30,0,0,40,2,0.5
R_7NExuWsFvVLDcxL,0,55,53,0,0,100,100,56,22,55,50,58,0,2,-0.5
R_3EolE1LyMGHkjS5,50,63,83,23,0,70,100,51,0,51,72,65,67,2,0.5
R_5uOn6e2DlsDnCnj,0,0,47,0,2,18,80,10,0,0,0,18,0,2,-0.5
R_3yHhjGk5tAXrks5,0,70,95,21,0,56,100,23,86,40,82,18,13,2,0.5
R_bjyg3451BDK7kqh,66,75,44,15,33,91,94,52,99,36,53,18,33,1,-0.5
R_ehb6F11kUB4Ku6p,19,34,55,3,10,74,97,70,41,43,28,21,72,1,-0.5
R_6VACXKCBFxOTsIl,5,42,37,12,23,46,91,47,46,9,52,50,32,1,-0.5
R_3ZZh9tbvZcK25gN,0,8,0,0,0,9,80,50,82,20,0,8,6,2,-0.5
R_0lAoLvtwwHWBHa5,0,13,8,0,0,70,100,100,75,0,4,55,0,1,-0.5
R_01IS5JKKMhvtULb,1,20,70,0,0,80,98,21,1,0,50,1,10,2,0.5
R_1BW3WZ7jV5ZyJDL,43,48,18,5,4,88,95,15,100,34,57,46,95,2,-0.5
R_dmzCgDKeBiMqLCl,8,0,30,0,0,68,89,0,51,0,27,0,66,1,0.5
R_9yFE3ECU8XeQpgh,0,0,46,0,0,95,90,18,48,38,59,47,0,2,0.5
R_0wzfc9f67eScDzv,0,92,82,0,0,70,100,92,65,80,61,0,90,1,-0.5
R_7TKgWMOHPA4LhL7,7,30,70,16,1,64,71,42,91,37,90,51,31,1,0.5
R_9LZEZmv51AvmRN3,0,0,40,0,0,41,100,37,2,9,50,0,17,2,-0.5
R_07MeW49adb9Hest,20,0,50,0,0,70,100,30,60,0,50,60,0,1,0.5
R_8685sBevtFFkqhv,25,70,48,0,0,85,94,45,57,33,70,31,70,2,0.5
R_emUHUy8qDTzU6IB,0,9,28,0,0,91,79,0,0,28,79,0,0,2,0.5
R_cuN5Iv07NotIzD7,0,0,0,0,0,40,100,80,0,60,50,0,30,1,-0.5
R_d6ep0X1ggz4tNqJ,69,90,90,59,80,79,100,90,80,90,39,80,69,1,0.5
R_5jwFV2Nigx63H1z,84,61,24,0,39,90,93,61,30,78,74,76,52,1,-0.5
R_cRTyEl6PDkuJjjn,0,0,0,0,0,80,100,0,0,0,0,0,0,2,0.5
R_d4HGDJNpQP1NSnz,0,0,0,2,0,16,100,10,0,7,21,11,0,1,-0.5
R_8eOZQi0ihGdkojb,0,0,0,0,0,90,100,54,19,0,10,0,50,1,-0.5
R_0NFT8ve3wzqVw7b,0,7,35,14,37,89,100,80,48,10,86,7,54,2,-0.5
R_erF5xVDRFh2npjL,11,38,30,0,0,69,90,25,58,19,70,20,19,1,-0.5
R_egFy0vjKd6mYJet,28,65,74,14,16,75,99,35,49,44,75,27,84,2,-0.5
R_br25HEwrvcGsYMB,0,16,17,0,0,57,100,27,60,36,57,0,5,1,-0.5
R_4ToJ69vipY6FoVL,NA,NA,38,4,12,45,100,NA,21,NA,41,NA,3,1,0.5
R_eb355WIy8Vf4PYN,8,10,50,0,0,80,100,70,50,20,10,20,15,2,0.5
R_1B1aEGl53dCdeqp,38,3,93,1,26,85,71,60,45,9,52,53,91,1,-0.5
R_4Pb3zQG9DLQq19P,0,70,90,0,10,90,100,60,40,10,60,60,30,2,0.5
R_3HRFGjCQ8UhGdCd,9,60,50,0,0,40,100,60,39,10,40,19,39,1,0.5
R_domY4CZYlddSvVH,10,30,20,0,0,30,90,20,40,20,20,10,0,1,0.5
R_bqQElqsk6zJadP7,49,20,1,0,0,81,100,11,3,0,100,0,30,1,0.5
R_42BDX57hYMvjCjH,40,80,50,0,0,70,100,69,50,0,60,50,60,1,0.5
R_6W42MvSAhR2dzud,0,80,29,0,0,56,100,25,89,0,80,0,18,2,0.5
R_d5qxhxNDKMuzswZ,0,50,75,0,0,75,100,35,5,0,70,0,0,1,0.5
R_bkJTOeDRD5akqd7,0,50,20,0,0,80,90,30,20,10,40,0,0,1,-0.5
R_9B0meZPHljtHWyV,50,46,45,3,28,82,90,14,81,15,61,39,49,1,-0.5
R_9vjvVkhVVN0oAIt,50,66,79,12,12,90,91,29,81,8,71,59,30,2,0.5
R_bjgWzozOIxocKHj,0,10,50,0,10,90,100,40,80,20,80,80,15,2,-0.5
R_eVff7mABWvxZVNH,0,0,75,0,0,10,70,0,77,0,49,0,0,1,0.5
R_d73HHTECZr5hPw1,10,31,50,0,0,48,83,41,41,27,69,60,40,1,-0.5
R_25cgYrlBQ8CKP89,0,39,21,10,0,77,100,38,0,61,21,76,1,1,0.5
R_2rjT1AIfMRDMLrv,0,21,26,0,0,75,100,46,41,20,17,0,21,1,-0.5
R_b4t6lQEa1zYd9IN,9,80,91,19,9,90,82,45,41,80,81,50,18,1,0.5
R_3gfRWMVdaCIhvhz,NA,16,NA,NA,NA,80,92,12,50,NA,47,NA,NA,2,-0.5
R_1z5C9vaQjZHVMuF,22,19,17,4,9,51,98,76,50,6,54,13,9,1,0.5
R_3L4ts8X3Euyk2wJ,86,100,84,0,0,89,91,56,91,0,40,0,93,2,0.5
R_0uf2I4Ps7AVHQ3P,40,19,50,9,10,50,91,60,20,39,50,19,50,1,-0.5
R_2gXiEg4jbzKuzk1,51,0,0,0,0,83,92,1,73,1,50,0,0,2,0.5
R_0jIZ5rjjzwJcbKR,7,68,79,8,9,69,100,90,48,45,100,47,100,1,-0.5
R_dbP0Ce5OqjyD9VX,10,80,90,0,18,60,100,58,19,20,20,39,18,1,0.5
R_8tOu2tzXgOELdA1,0,28,25,0,0,37,81,51,47,20,40,0,8,1,-0.5
R_7VOMeYsawPQbxK5,0,81,94,0,0,100,87,0,100,0,81,13,10,1,0.5
R_eMbl9mZh8SCam4l,0,29,51,0,0,76,55,0,0,28,0,0,0,1,0.5
R_6YHZ22qcbnQUomx,38,81,64,12,20,88,93,59,94,78,86,9,73,1,-0.5
R_5AZ1FAR8Go8DIUJ,0,100,100,0,0,100,100,0,70,100,100,0,0,2,0.5
R_d6h7xBoN7Nl9Gux,27,79,87,6,3,79,79,72,42,81,80,7,22,1,0.5
R_cMEAMDmLAaOrh1H,80,57,58,0,0,90,68,69,48,9,96,0,90,1,-0.5
R_aarRT5xRh0O4otf,1,47,48,1,1,92,100,38,88,2,81,1,15,1,0.5
R_aVF2Bf4zBLXzulL,0,41,30,0,0,50,80,50,20,0,30,0,0,1,-0.5
R_87VQpHdD4oMbU4R,0,0,0,0,0,59,80,59,100,7,79,10,0,1,-0.5
R_ba2d9bTwBVc9u8R,0,0,33,0,0,78,90,22,72,31,69,0,12,1,0.5
R_6EcRUu7hotLU3gV,19,82,82,49,0,100,100,40,70,50,91,70,70,2,-0.5
R_diGd4JCwFsiSSOh,0,91,80,21,0,66,100,100,0,85,100,64,99,2,0.5
R_9Sr4xfV3mcfbkMJ,9,92,0,8,12,50,100,38,0,9,50,0,40,1,0.5
R_9QDOOoxH8un7ss5,30,91,60,39,0,72,97,81,71,50,81,30,50,2,0.5
R_5bFZAy1zoB6KcSx,0,19,0,0,0,80,100,0,0,0,50,0,40,2,-0.5
R_018Rt7ens4REpbn,0,10,28,0,0,95,100,80,50,40,89,59,10,1,0.5
R_3Wv1GMqvs4l0Ihn,33,42,51,0,0,94,96,41,12,39,60,56,62,2,-0.5
R_2b34SXGI9e3d1sx,16,61,28,10,9,69,81,27,58,11,90,60,37,1,-0.5
R_bf8EAEeHAWnhTKd,14,0,51,3,0,79,100,19,39,31,71,0,4,1,0.5
R_6gsLFlUjZtUja4d,0,0,0,0,0,100,100,0,100,0,21,10,50,1,-0.5
R_1Gjw0YpFPKkYpRr,NA,9,47,NA,NA,91,90,NA,48,NA,48,37,NA,2,-0.5
R_2bPcmyGJhS9PMmF,0,74,16,21,16,80,85,49,19,40,39,46,77,1,-0.5
R_4GWg11Q4hRZ97Vz,28,37,15,58,15,100,90,62,89,60,91,0,85,1,-0.5
R_4JH37p6sZrOQSB7,48,5,5,5,3,89,96,38,20,38,91,38,28,1,-0.5
R_9RGfkYBfrvwMa0J,0,20,40,0,0,70,100,40,0,0,60,0,70,1,0.5
R_5joEo6bZJR8zXMx,0,25,25,0,0,45,80,0,40,0,0,50,0,2,0.5
R_1Hb6jeuFX82g0OV,8,7,60,9,8,68,14,18,40,43,52,22,31,1,0.5
R_2t0T4AU1smxZFzL,0,0,0,43,0,100,85,56,80,0,89,0,0,2,-0.5
R_8w8a9mzbb2NJGN7,2,5,6,2,7,82,83,8,11,1,43,2,14,1,-0.5
R_9RilxQ4gZ5NoVql,15,70,25,0,0,75,75,30,30,20,45,30,70,1,-0.5
R_09hftkPihiS39w9,17,55,11,0,2,64,87,50,68,9,51,14,11,1,-0.5
R_806590uICeIvuWF,0,50,70,0,0,70,95,20,20,0,30,10,20,2,0.5
R_cJ8RYKgczpwMlw1,20,0,0,0,29,84,100,73,100,43,79,51,74,2,-0.5
R_cUPQY1oOkd3CDOt,20,80,NA,0,0,80,100,0,100,35,75,0,35,1,-0.5
R_beJzQZHTuExzRml,7,19,0,0,0,73,50,37,0,0,33,0,78,2,-0.5
R_e3CX59LsHHhuRAF,0,40,0,0,0,100,80,65,10,20,66,0,50,2,-0.5
R_2ggDqvXeBxpf6g5,0,0,61,0,0,50,97,3,46,3,87,0,1,2,0.5
R_a03smQYKSLtsdH7,20,50,20,0,0,70,90,20,60,20,30,10,60,2,-0.5
R_293XDux03EuWqFf,9,51,28,0,0,18,90,53,20,18,48,9,46,2,0.5
R_blorywF4ZPwN1k1,24,NA,50,NA,NA,59,100,51,75,70,65,40,8,1,-0.5
R_1GDV7LkU2imYssZ,5,44,40,0,0,60,100,100,42,42,67,0,0,1,-0.5
R_6GuP3hxV3WY6TMF,0,9,0,0,4,73,80,16,0,0,14,0,81,1,-0.5
R_5jVynkqqQvAY0zX,0,32,20,0,0,45,94,41,14,10,51,0,77,1,-0.5
R_2uClaFrYhAlIHsh,0,0,9,0,9,90,100,10,9,11,18,9,18,1,-0.5
R_8J5zyoskCLTiTsh,10,10,8,0,9,47,100,38,69,9,49,5,38,1,-0.5
R_bvmLx3iH9sfwiMt,18,38,88,11,1,90,100,7,11,18,100,25,73,2,0.5
R_9npI8rKDqi21DnL,0,0,0,0,0,82,89,0,18,19,3,0,0,2,0.5
R_0kMWUJsnP3UN11r,23,57,51,0,23,62,90,43,55,32,42,27,54,1,0.5
R_bD8Xg4vnmgGslJX,13,72,65,48,15,72,100,82,47,55,81,78,19,2,0.5
R_0ceBPuapgCxXIzj,0,0,10,0,0,40,100,38,48,0,60,0,29,1,-0.5
R_eKCIOHPfuESNRat,0,15,0,0,0,15,80,0,0,10,0,0,0,2,0.5
R_beLedlOovpq8Oa1,4,40,39,6,7,58,99,50,34,10,80,10,0,2,0.5
R_3eLPe4BZRv1keDX,0,58,65,0,0,77,60,72,35,35,75,33,52,1,-0.5
R_8laFg0WNGb03n9z,13,86,90,15,15,99,90,71,13,12,4,9,67,1,-0.5
R_9n1VJLiWjlhheOV,10,80,80,0,1,90,100,90,29,40,95,0,80,2,0.5
R_5bE5WkJgLHyG7Nb,15,0,53,0,0,33,100,0,7,5,17,0,0,2,0.5
R_bmcz875qQu0bnox,3,0,0,0,0,86,82,35,4,1,2,0,6,1,-0.5
R_czIFOoPV8NRHYRn,10,NA,84,0,0,89,90,1,41,20,57,0,10,1,0.5
R_bQr1H4fuCNnRfwh,NA,100,38,NA,43,100,100,74,100,NA,100,0,100,1,0.5
R_1OnkEOSLGeXNpe5,50,70,60,0,0,100,100,80,90,50,70,30,70,1,-0.5
R_8c3AONE0ZDst3F3,60,80,70,0,0,80,100,60,70,70,70,80,10,1,0.5
R_8qxn2sQKni0OKLH,9,52,33,3,9,91,100,74,57,48,65,43,55,2,-0.5
R_56b4LSqmTX80SqN,38,30,0,0,0,36,66,50,0,37,19,28,30,1,0.5
R_4VJUav5kZgAhfJr,0,0,50,30,5,80,100,40,80,20,30,55,60,2,-0.5
R_8Jj1CujGM5PtCoB,50,72,68,0,0,85,100,52,69,52,51,51,57,1,-0.5
R_9GeovOvQNKP792t,5,46,37,6,5,55,86,54,59,24,37,19,78,1,-0.5
R_5bcmEJdeElorZpH,8,80,50,9,0,92,100,73,65,40,60,45,82,1,0.5
R_5uvWqKO4oPDdbmd,1,56,65,10,7,70,69,58,18,44,82,31,39,1,0.5
R_bIWho4R9WWpJOmN,47,59,9,14,1,78,93,55,68,20,69,28,23,2,-0.5
R_5bDNNp2Xm1lLLjD,30,70,60,40,30,60,95,70,65,40,60,35,60,1,-0.5
R_0J1vo3hZhHbVye1,100,0,50,0,6,50,100,51,60,10,23,20,75,1,-0.5
R_6J3tY8FQD5uzY1v,60,78,39,NA,NA,93,100,53,60,15,100,83,49,1,-0.5
R_bQrzgwD1BbjmY5L,0,100,90,0,0,95,100,100,100,50,80,50,80,2,0.5
R_8f9v1oDcdjUakMR,2,9,37,NA,NA,5,100,9,62,9,52,21,2,1,-0.5
R_2rC8G9Oviqgh0VL,49,57,75,7,5,85,100,83,29,23,77,0,63,1,0.5
